"NR"	"Country"	"Gender"	"Age"	"LiveArea"	"Car"	"Bedroom"	"Travel"	"Computer"	"Wealth"	"ZPop"	"ZLike"	"SE"	"DASS"	"Depress"	"Anxiety"	"Stress"	"PopSelf"	"LikeSelf"	"Tobacco1"	"Tobacco2"	"Tobacco3"	"Tobacco4"	"Tobacco5"	"Alcohol1"	"Alcohol2"	"Alcohol3"	"Alcohol4"	"Drugs1"	"Drugs2"	"Drugs3"	"Drugs4"	"Sex1"	"Sex2"	"Sex3"	"Sex4"	"Sex5"	"Sex7"	"Sex8"	"Aggro1"	"Aggro2"	"Zfriend"	"Zattrac"	"Zcheers"	"Zhelpful"	"Zsports"	"Zwell"	"Znice"	"Zleader"	"Ztough"	"Zexclude"	"Zbullies"	"Zgossips"	"Zmean"	"ZSex3"	"ZSex4"	"ZTob3"	"ZTob4"	"ZAlc3"	"ZAlc4"	"ZMar1"	"AvrSex"	"AvrTob"	"AvrAlc"	"risksum"
"1"	2	NA	"Female"	16	"Rural"	"Two or more"	"Yes"	"More than twice"	"One"	"Average"	-1.29127530175664	-0.649925105545787	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"0 times"	"never"	"0 times"	"0 times"	"No"	0	0	"Not during the past 3 months"	NA	"No"	0	"0 times"	"0 times"	-0.298615839940352	-0.333333333333333	-0.122011467922319	-0.691094740465088	-0.766865246992622	1.95695090964109	-0.569558864300757	-0.155550754680424	-0.139103721018664	1.33105026822449	0.110959008218296	-0.718787071887753	0.34019714654514	-0.601262712649585	-0.628169316451447	NA	NA	NA	NA	-0.541969755678248	-0.614716014550516	NA	NA	NA
"2"	7	NA	"Female"	16	"Small town"	"Two or more"	"Yes"	"Once"	"More than two"	"Quite well off"	0.517335897199071	1.28267121531313	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"0 times"	"never"	"0 times"	"0 times"	"No"	0	0	"Not during the past 3 months"	NA	"No"	0	"0 times"	"0 times"	-0.102868899974728	2.3146433415864	0.527273285481883	0.4352782944132	-0.331254891864362	-0.811610403368268	0.62205707704464	-0.618296366917259	1.56266694810778	0.256977137379652	-0.524680031103033	-0.491701275459422	-0.131940646656053	-0.601262712649585	-0.628169316451447	NA	NA	NA	NA	-0.541969755678248	-0.614716014550516	NA	NA	NA
"3"	11	"Austria"	"Male"	18	"Small town"	"One"	"Yes"	"Not at all"	"More than two"	"Quite well off"	0.981158265801137	-0.641874353033545	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.249767054857901	-0.601271708186267	-0.252861046172085	-0.419514834218433	-0.0266816236190438	-0.603392269512958	-0.894293291221107	1.29210985304672	1.90788199144254	0.774438397996299	0.441348925448605	-0.157740056045561	2.17429872640447	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"4"	17	NA	"Female"	16	"Rural"	"One"	"Yes"	"Not at all"	"More than two"	NA	-0.678585584712285	-1.34887133660712	3.4	1.38095238095238	1.28571428571429	1	1.85714285714286	NA	NA	"Yes"	"9 or 10 years old"	"0 days"	"I did not smoke"	0	NA	NA	NA	NA	"0 times"	"never"	"0 times"	"0 times"	"Yes"	3	1	"Not during the past 3 months"	0	"No"	0	"0 times"	"0 times"	-1.54303349962092	-0.301007430071774	0.527273285481883	-0.619434495895707	-0.70727395830499	1.49160830889303	-0.0654796923204886	-0.618296366917259	-0.700505873289694	-0.0803053554311414	-0.242160014355246	2.39950222424198	-0.593732909952238	0.189975515071693	-0.628169316451447	-0.547869962242889	-0.609377217664477	NA	NA	-0.541969755678248	-0.219096900689877	-0.578623589953683	NA	NA
"5"	1	NA	"Female"	16	"Rural"	"One"	"Yes"	"More than twice"	"Two"	"Quite well off"	-0.012136419246685	-1.82637225070362	2.4	1.28571428571429	1.57142857142857	1	1.28571428571429	"4"	"3"	"No"	"never"	"0 days"	"I did not smoke"	0	NA	"11 or 12 years old"	"3 to 5 days"	"0 days"	"0 times"	"never"	"0 times"	"0 times"	"Yes"	3	2	"1 person"	0	"Yes"	3	"0 times"	"0 times"	0.617213399848367	0.134934365204588	1.03057960344186	0.786849224516169	-0.895283491525304	1.49160830889303	0.278288692362076	2.95236515202991	0.0538850671761303	1.26882461581203	0.605400035888115	0.747385938698321	0.560747748288225	0.981213742792972	0.978035771183899	-0.547869962242889	-0.609377217664477	0.0802802568719356	-0.985924441899172	-0.541969755678248	0.979624756988435	-0.578623589953683	-0.452822092513618	-0.593790681157114
"6"	3	"Austria"	"Female"	16	"Urban"	"One"	"Yes"	"More than twice"	"More than two"	"Quite well off"	-0.246057191798596	-0.585793173052245	3.2	1.0952380952381	1.14285714285714	1	1.14285714285714	NA	NA	"No"	"never"	"0 days"	"I did not smoke"	0	"0 days"	"never"	"0 days"	"0 days"	"0 times"	"never"	"0 times"	"0 times"	"No"	0	0	"Not during the past 3 months"	NA	"No"	0	"0 times"	"0 times"	-2.02341675128234	-0.0692396868548565	0.0284237223729888	-0.613410700126481	-0.6478835438717	-0.200557617508196	-1.14584036555998	-0.843780665792842	-0.812681155466682	1.90862703084106	-0.539071693375093	-0.123421938529559	-0.700018523023001	-0.601262712649585	-0.628169316451447	-0.547869962242889	-0.609377217664477	-1.53335290625397	-0.985924441899172	-0.541969755678248	-0.614716014550516	-0.578623589953683	-1.25963867407657	-2.99494803425902
"7"	5	NA	"Male"	15	"Rural"	"No"	"Yes"	"Not at all"	"More than two"	"Average"	0.517335897199071	0.20565039640126	3.3	1.19047619047619	1	1.14285714285714	1.42857142857143	"6"	"3"	"No"	"never"	"0 days"	"I did not smoke"	0	"0 days"	"never"	"0 days"	"0 days"	"0 times"	"never"	"0 times"	"0 times"	"No"	0	0	"Not during the past 3 months"	NA	"No"	0	"0 times"	"0 times"	-0.102868899974728	-0.301007430071774	-0.982645668398055	-0.619434495895707	2.11286903999972	-0.811610403368268	-0.753016461685617	-0.618296366917259	0.0538850671761303	2.28067209424441	1.45296008613148	1.16041501008424	1.94612453817678	-0.601262712649585	-0.628169316451447	-0.547869962242889	-0.609377217664477	-1.53335290625397	-0.985924441899172	-0.541969755678248	-0.614716014550516	-0.578623589953683	-1.25963867407657	-2.99494803425902
"8"	5	"Austria"	"Male"	15	"Small town"	"One"	"Yes"	"Not at all"	"More than two"	"Quite well off"	-1.63830656992486	-0.861360462415411	3.1	1.71428571428571	1.28571428571429	1.14285714285714	2.71428571428571	"2"	"4"	"No"	"never"	"0 days"	"I did not smoke"	0	"0 days"	"never"	"0 days"	"0 days"	"0 times"	"never"	"0 times"	NA	"No"	0	0	"Not during the past 3 months"	NA	NA	NA	"0 times"	"0 times"	0.459584770473649	-0.669998478894839	-0.640006488252934	-0.711434228534905	-0.721179596081921	1.29841003092941	-0.313883935168866	-0.462918991465939	-0.731413457453147	-0.493394556860665	-0.608390041232258	-0.735092719194421	-0.581066098952238	-0.601262712649585	-0.628169316451447	-0.547869962242889	-0.609377217664477	-1.53335290625397	-0.985924441899172	-0.541969755678248	-0.614716014550516	-0.578623589953683	-1.25963867407657	-2.99494803425902
"9"	6	"Austria"	"Male"	16	"Rural"	"Two or more"	"Yes"	"More than twice"	"More than two"	"Quite well off"	0.0531053761629451	-0.195582620853326	3.7	1	1	1	1	"5"	"6"	"No"	"never"	"0 days"	"I did not smoke"	0	"0 days"	"never"	"0 days"	"0 days"	"0 times"	"never"	"0 times"	NA	"No"	0	0	"Not during the past 3 months"	NA	"No"	0	"0 times"	"0 times"	0.120839627227826	-0.414170675911168	-0.81144435086435	-0.00786453004657361	0.0190579040605904	0.668963960525402	-0.576056243799076	-0.812539006297297	-0.667876334710347	-0.811844140885989	1.31597952876986	-0.54870059202587	1.68035915493216	-0.601262712649585	-0.628169316451447	-0.547869962242889	-0.609377217664477	-1.53335290625397	-0.985924441899172	-0.541969755678248	-0.614716014550516	-0.578623589953683	-1.25963867407657	-2.99494803425902
"10"	9	"Austria"	"Male"	17	"Large town"	"One"	"No"	"Not at all"	"More than two"	"Quite well off"	-1.53493085490338	-0.526050616481287	2.6	1.80952380952381	1.57142857142857	2.14285714285714	1.71428571428571	"3"	"4"	"No"	"never"	"0 days"	"I did not smoke"	0	"0 days"	"never"	"0 days"	"0 days"	"0 times"	"never"	"0 times"	"0 times"	"No"	0	0	"Not during the past 3 months"	NA	"No"	0	"0 times"	"0 times"	-0.870120426785601	-0.778460947081868	-0.195083937786155	-0.0565062251612233	1.08814109226819	0.291101803052231	-0.955071873875755	-0.57641039128353	-0.768004237276446	-0.710174503968536	-0.427220648514889	-0.708604361645309	0.0568594660999623	-0.601262712649585	-0.628169316451447	-0.547869962242889	-0.609377217664477	-1.53335290625397	-0.985924441899172	-0.541969755678248	-0.614716014550516	-0.578623589953683	-1.25963867407657	-2.99494803425902
